"b107133040","917.471 M","Our Syrian population ;","770289924","79079418",,
"b107137446","974.72 B87 BR","Rediscovering Brooklyn history :","801381067","78065791","0933250002",
"b107142879","305.8969 M","Social stratification among first generation Grenadians in Brooklyn :","871066900",,,
"b107148961","974.725 M","Wunderlich's salute :","841088570","82062515","0961046600",
"b107151704","917.4723 M666 C","Canarsie place-names.","871256319",,,
"b107153798","296.833 M","Hasidic people :","931039475","92006573","0674381157",
"b107155072","296 M667 L","Legends of the Hasidim ;","710389392","68016707",,
"b107156076","309.1747 M67 P","Neighborhood study of the Park Slope community in Brooklyn /","906915547",,,
"b107164553","974.72 B87 BTR","Tradition and community in the urban neighborhood :","851159852","83071369","093325010X",
"b10716937x","B LOUGHLIN M","Golden jubilee celebration of the Rt. Rev. John Loughlin :","ocm08450479",,,
"b107176609","508.7471 M","Wild New York :","ocm36138406","96053915","0517704846 (alk. paper) :",
"b107186512","779.092 BRAINERD M","George Bradford Brainerd (1845-1887) :","ocm31699986",,,
"b107187012","929.2 PIERREPONT M","Pierrepont genealogies :","ocm03687074","13006556",,
"b10719501x","B MOORE M","Marianne Moore :","906466289","90000709","0689118155",
"b107195434","912.7471 M","New York City in the 1980's :","931277253","93025096","0136162932",
"b10720826x","974.723 M","I remember Brooklyn :","911502880","91022820","155972093X :",
"b107210289","629.224 M","Mack /","ocm00910035","75305663","0877990379 :",
"b107219529","821 M78 Wo","The world before the flood, a poem, in ten cantos :","ocm06573105","24005992",,
"b10722057x","974.71 M","At home in America :","811608528","80018777","0231050623",
"b107223466","811 M822 C","Collected poems.","700065825","51014374",,
"b107228518","974.71 M","Imperial city :","881364081","87035611","0805009159",
"b107229730","811 M822 L","Like a bulwark.","800189587","56011066",,
"b107233198","811 M822 N","Nevertheless /","906799765","44008821",,
"b107233988","811 M822 O","O to be a dragon.","710171531","59012454",,
"b107237441","B MOORE S","The selected letters of Marianne Moore /","ocm36103955","96052200","0679439099 :",
"b107238949","818.5 M822 T","Tell me, tell me ;","710240855","66023820",,
"b107240737","371.1 M","Welcome to #57 :","750107988","73088529","0399112901 :",
"b107242709","720.97471 M","An architectural guidebook to Brooklyn /","ocm45284576","00012250","1586850474 :",
"b107242710","720.97471 M","The architectural guidebook to New York City /","ocm37588402","97033086","0879058412 (paperback) :";"9780879058418 (paperback) :",
"b107245954","340.071 M","Brooklyn Law School :","ocm48206564","2001095083","0971295301",
"b107251243","618.1 M","Conduct unbecoming a woman :","ocm39515918","98029764","0195126246 :",
"b107251826","363.582 M","Developing a Section 8 substantial rehab project :","921021060",,,
"b10725959x","B MORRISON G","The green box :","ocm48210263",,,
"b107262496","373 M87","History of Adelphi Academy /","886773805",,,
"b107264833","974.71 M876","Incredible New York ;","760136498","51014524",,
"b107275387","917.471 M831 N","New York /","907187733",,,
"b107275958","097 M85","One hundred book plates /","906921552","75302337",,
"b107284807","623.8909 M","Shipwrecks in New York waters :","ocm20931529","89061172","0940160447 :",
"b107294333","296.833 M","Women of valor :","907781644",,,
"b107295982","974.71 M91","The American metropolis, from Knickerbocker days to the present time ;","710568823","01014308",,
"b107299240","363.5 M","Housing and recreation /","ocm04234983",,,
"b107303656","917.471 M911 R","Remarks of Robert Moses, chairman of the Triborough Bridge and Tunnel Authority :","ocm42704083",,,
"b107303929","974.71 M","The Street book ;","791052839","78066990",,
"b107333193","282 M96","A brief historical sketch of the Catholic church on Long island /","834161933","10013340",,
"b10734063x","671 M96","Outspinning the spider ;","896599857","22026150",,
"b107341748","974.71 M","Block by block :","801508221","73005780","0394821327";"0394921321 (lib. bdg.)",
"b107342200","917.472 B873","Brooklyn, the home borough of New York City :","871093844","12023452",,
"b107346497","720.9747 N56 M2","New York landmarks :","896737976",,,
"b107351584","338.76657 M","Brooklyn Union :","ocm33869377",,,
"b10735259x","016.97 M97","Catalogue of the magnificent library of the late Hon. Henry C. Murphy ... consisting almost wholly of Americana or books relating to America...","906935739",,,
"b107367348","917.472 M97","A treasury of Brooklyn /","823284738","49009553 *",,
"b107369643","728.31 M","Another chance for housing: low-rise alternatives; Brownsville, Brooklyn, Fox Hills, Staten Island :","ocm00750020","73078278",,
"b107384061","016.811 M","Walt Whitman :","ocm26255182","92025927","0822937395 :",
"b107389113","973.79 N12","The Christian boy-soldier :","906893917",,,
"b107393992","JPN 811 WHITMAN N","Whitman miscellanies /","921572675",,,
"b107401411","792.0974 N","Chelsea on the edge :","921024193","91008660","0813817137 :",
"b10742308x","917.4723 N","The history of Prospect Park South /","834010326",,,
"b107434726","016.909 N","Register of the Carlos de Wendler-Funaro Gypsy research collection, c. 1920-1975 /","871559171","86028681",,
"b107442954","358.417 N","The NAS beam. /","ocm20157450",,,
"b107454944","796.357 N","The Dodgers trivia book /","931085989","92043020","0312088396 (pbk.) :",
"b107457295","604 N41","An address at the opening of the annual exhibition of the Brooklyn Industrial Institute :","ocm09793832",,,
"b10746195x","378.74722 N","Brooklyn--a center of learning :","855743021",,,
"b107462126","917.4723 N432 B","Brooklyn Heights guide.","871256561",,,
"b107464354","097 N42","Harold Nelson: his book of book-plates :","906943041",,,
"b107466624","021.64 N424 P","Prospects for library cooperation in New York City :","856076875","a  65000161",,
"b107484456","331.833 N567 F","1966 fact sheet /","841096539","77004946",,
"b107486039","388.4 N545 A","Agreement for operation of surface cars on Williamsburg Bridge, dated May 21, 1904 /","896868074",,,
"b107486295","974.723 N532 LP-0989","Albemarle-Kenmore terraces historic district designation report /","ocm30264251",,,
"b107487329","624 N56B","Annual report :","ocm13080483",,,
"b107487524","331.83 N566 H","Annual report /","906783647","sn 85018965",,
"b10748819x","353 N56 E","Annual report of the State Engineer & Surveyor of the State of New York.","907524878",,,
"b10748898x","338 N56 A","Annual statistical report of the New York Produce Exchange.","907499683",,,
"b107489144","628 N564","Act to supply the city of Brooklyn with water, passed June 3rd, 1853.","907591906",,,
"b10748934x","974.723 N532 LP-1003","Brooklyn Academy of Music Historic District, borough of Brooklyn /","ocm43964421",,,
"b107489442","624 N56 P","Brooklyn Bridge, 1883-1933.","730148877",,,
"b10748951x","974.71 N532 LP-0098","Brooklyn Bridge, City Hall Park, Borough of Manhattan to Cadman Plaza, Borough of Brooklyn Manhattan :","ocm32119327",,,
"b107489624","624.5 N56 PB","Brooklyn Bridge technical survey :","896014203",,,
"b107489995","656 N56 C2","Brooklyn ferries.","896866804",,,
"b107490158","974.723 N532 LP-0767","Boerum Hill historic district designation report /","ocm30264077",,,
"b107490687","338.1 N54 B","Brooklyn's position as an industrial center ;","896669527","a  59009416",,
"b107490730","711.59 N532 B","Between promise and performance ;","823240128",,,
"b107490894","388.4 N55 CPB","Better rapid transit for New York City :","896662004",,,
"b107491278","309.262 N532 CB","Brooklyn waterfront rail plan.","811859466",,,
"b107491904","309.7471 N532 C","Central Brooklyn Model Cities :","907384488",,,
"b107492295","312.0974 N532 CC","Community district statistics :","851033591",,,
"b107492489","974.71 N","City for sale :","906062360","88045522","0060916621 (pbk.)",
"b107492738","974.723 N532 LP-0320","Cobble Hill Historic District designation report.","ocm34733150",,,
"b10749274x","974.723 N532 LCH","Cobble Hill historic district extension, Borough of Brooklyn.","881295945",,,
"b107492751","917.4723 N532 LC","Clinton Hill historic district designation report.","821350890",,,
"b107492787","333 N56","Colonial highways of Greater New York ;","907580369",,,
"b107494255","352 N56 CA5","The charter of the city of New York.","ocm35841200",,,
"b107494346","385 N562 AS","A compilation of the ferry leases and railroad grants made by the Corporation of the City of New York, from July 1, 1849, to July 1, 1860 :","896928387",,,
"b107494668","624.2 N532","Contracts, plans, and specifications :","896809436",,,
"b107494723","330.97472 N532 CEF","Community portfolio: fact book.","780050957",,,
"b107494887","656 N56 Ps2","Comprehensive program of rapid transit and civic betterment for all Brooklyn.","907592201",,,
"b107495156","624.8 N532 LC","Carroll Street Bridge, over the Gowanus Canal, Borough of Brooklyn.","906469588",,,
"b107495764","331.833 N562 PRC","City-wide public housing.","906904885",,,
"b107495831","974.723 N532 LC","The Cyclone.","881366249",,,
"b107495843","307.76 N532 CD","District atlas 84.","841439070",,,
"b107495971","352.5 N56 Ed","Development and present status of city planning in New York City /","896631821","15021285",,
"b107496549","974.7043 N","Designation list /","ocm24152955",,,
"b107497359","974.723 N532 LP-1236","Ditmas Park Historic District designation report /","ocm43964422",,,
"b10749968x","624.2 N56 C","Fiftieth anniversary of the opening of the Brooklyn Bridge, May 24th, 1933.","896178918",,,
"b10750022x","917.4723 N532 CF","Fulton Ferry.","831485657",,,
"b107500280","974.723 N532 LF","Fulton Ferry historic district designation report.","871382481",,,
"b107500334","379 N562 Ef","The first fifty years :","896707240",,,
"b10750036x","974.723 N532 LFO","Fort Greene historic district designation report.","871381554",,,
"b107500401","331.83 N56 Cs2","Fort Greene :","906619880",,,
"b107500760","974.723 N532 LP-2005","Friends Meeting House, 110 Schermerhorn Street, Borough of Brooklyn :","ocm35319095",,,
"b107502355","974.723 N532 LP-1248","Greenpoint Historic District designation report /","ocm29840979",,,
"b107502744","330.97471 N532 CG","Gowanus :","881306166",,,
"b107503219","338.47 N532 CG","Greenpoint--Williamsburg, an industrial study.","881143677",,,
"b107503463","307.336 N532 CH","Housing database :","841092997",,,
"b107504133","614.4 N56 H","Handbook of information regarding the routine procedure of the Bureau of Infectious Diseases, 1914 /","906748530",,,
"b107504625","974.71 N532 LP-1961","Historic street lampposts, boroughs of the Bronx, Brooklyn, Manhattan, and Queens /","ocm37669412",,,
"b107505484","378.74723 N","Impact.","ocm44272879",,,
"b107505691","711.558 N","The improvement of Coney Island.","ocm34035858",,,
"b107507973","628 N56 WL","Long Island sources. :","834376510","13020038",,
"b107508503","974.72 N564 SL","Laws of the State of New York relating to the Shore Road of Brooklyn, N.Y.","871347918",,,
"b107508655","974.723 N532 L","Laws relating to the public parks, parkways and other property under the care and control of the Brooklyn Park Commissioners :","871092753",,,
"b107509313","917.472 N56 PW2","Modernized Brooklyn Bridge :","871058410",,,
"b107511356","309.262 N56 CM","Montague Street revitalization :","896270623",,,
"b107511368","307.76 N532 PDM","Montague Street revitalization.","841315078",,,
"b107511976","347.6 N56 SN","The north farm of Leffert Lefferts ;","897013911",,,
"b107512567","307.34 N532 UDG","Newkirk Plaza revitalization  /","851528487",,,
"b107512907","590.74 N567 N","The New York Aquarium.","896106917",,,
"b107513377","312.9 N532 PN","New York City poverty area maps.","841462447",,,
"b107513456","727.1 N532","New York City school buildings 1806-1956 /","896255330",,,
"b107514291","974.71 N56 DE","New York, the city that belongs to the world /","ocm01444679","58001346",,
"b107515386","973.74 M464","Ours :","ocm36657688",,,
"b107516056","628.3 N532 EP","Paerdegat Basin water quality facilities planning public hearing :","906338187",,,
"b107516561","309.26 N532 P","Planning for jobs :","897024065","71153495",,
"b107516676","027 N56 Cp","Program for the Public Libraries of New York City /","896601284",,,
"b107516901","331.83 N56 CSP","Pratt Institute Area :","906619892",,,
"b107517036","974.723 N532 LP-1638","The Parachute Jump, southwest corner of the block between Surf Avenue, the Riegelmann Boardwalk, West 16th Street and West 19th Street, Brooklyn ... :","ocm29362352",,,
"b107517061","974.723 N532 LP-1024","Prospect Lefferts Gardens Historic District designation report /","ocm24456513",,,
"b107517590","307.76 N532 PP","Portfolio ;","801329586",,,
"b107517802","B McCarren N532 LP","Proceedings of the Legislature of the State of New York commemorative of the life and public services of Patrick Henry McCarren held at the Capitol, Monday evening, May 16, 1910.","906450161",,,
"b107518077","974.723 N532 LP-0901","Prospect Park designation report /","ocm31826387",,,
"b107518314","974.723 N532 LP-0979","Prospect Park South Historic District designation report /","ocm43964425",,,
"b107518430","307.76 N532 CP","Private reinvestment & neighborhood change.","841111610",,,
"b107518454","305.868 N532 CP","Puerto Rican New Yorkers in 1990 /","ocm30261961",,,
"b107518491","385.312 N","Preliminary report of a special committee consisting of the Chief Engineer of the Board of Estimate and Apportionment, the Commissioner of Docks, the Commissioner of Plant and Structures, and the Engineer of the Borough of Richmond, concerning the Brooklyn-Richmond freight and passenger tunnel.","ocm38994659",,,
"b107518752","917.4749 N532 LP","Park Slope Historic District designation report :","907179065",,,
"b107518764","974.723 N532 LP","Park Slope Historic District :","871205324",,,
"b10752093x","352 N532 C","A report on a special examination of the accounts and methods of the office of the president of the borough of Brooklyn, directed by Hon. George B. McClellan, mayor ... November 23d, 1909 /","ocm34711537","10003535",,
"b107521350","974.7102 N","The records of New Amsterdam from 1653 to 1674 anno Domini /","ocm02327867","76001195","0806307153",
"b107521763","627 N564 G","Report of the Board of conference relative to the proposed waterway between Gravesend and Jamaica bays.","896106830","20027217",,
"b107521799","352.7 N532 R","Report of the committee appointed by the Board of trustees :","ocm05379916","06046619",,
"b107521805","388 N 56","Report of the Commissioners of Accounts transmitting to His Honor the mayor a report of a special examination of the "Bureau for the collection of city revenue and of markets" of the Finance Department :","ocm28054927","07027299",,
"b107522214","388.4 N561","Report[s on traffic facilities of the Brooklyn Bridge].","907591918",,,
"b107522652","305.896 N532 BR","Report of the Mayor's Commission on Black New Yorkers.","891458640",,,
"b107522962","339 N562","Report of the New York City Commission on Congestion of Population. :","896696461","11022797",,
"b107523024","656 N562 Df","Report on the operation of municipal ferries by the City of New York from 1905 to 1915.","907591413",,,
"b107523048","387.12 N562 D","Report on the organization of the South Brooklyn waterfront, between Brooklyn Bridge and Bay Ridge at the port of New York /","897014432",,,
"b107523073","656 N562 DO","Report on the proposed plan of operation for Jamaica Bay improvement /","ocm39479636",,,
"b10752319x","627.7 N","Report of the State Engineer and Surveyor, relative to grants of land under water, near New York.","ocm44733533",,,
"b107523474","388.322 N532 CCTR","Routes ;","801349881",,,
"b107523516","656 N562 Dm","Report on wholesale terminal markets at the port of New York ;","907580371",,,
"b107523590","333.3 N532 R","Real property inventory, City of New York, Borough of Brooklyn ;","906915991",,,
"b107524703","974.723 N532 LP-0821","Soldiers' and Sailors' Memorial Arch, Grand Army Plaza, Brooklyn :","ocm32126242",,,
"b107524788","974.723 N532 LP-2083","The Studebaker building, 1469 Bedford Avenue (aka 737-745 Sterling Place), Brooklyn :","ocm45841072",,,
"b107524831","373.73 N","School based budget reports :","ocm37027880",,,
"b107525756","917.4723 N532 LS","Stuyvesant Heights historic district designation report.","871256648",,,
"b107526396","388 N56 L","Subway nickels. :","720267233",,,
"b107526554","317.471 N532 PS","Statement of community district needs.","841029463",,,
"b107526669","656 N563","Statement of facts, with Remarks, etc ... in answers to a pamplet published at Brooklyn in relation to the steam boat ferry.","896863834",,,
"b107527285","307.76 N532 CS","Sunset Park.","851413852",,,
"b107527479","305.523 N532 CS 1990","Socioeconomic profiles :","931225951",,,
"b107529944","B L912 N","Tribute of the Chamber of commerce of the state of New-York to the memory of Abiel Abbot Low, president, 1863-1867.","896704751","09026200",,
"b10753065x","656 N56 C","Union Ferry Company of Brooklyn ;","907589533",,,
"b107530843","309.262 N532 SU","Urban renewal in Brownsville ;","740321752",,,
"b107531082","974.723 N532 LV","Vinegar Hill Historic District designation report :","ocm37620760",,,
"b107531422","309.26 N532 P","The waterfront :","941164713",,,
"b107531562","368 N","Where do you draw the line? :","ocm06477917",,,
"b107531756","331.83 N56 Cs","Williamsburg. :","906612610",,,
"b107532396","974.723 N532 LP-1708","The Wonder Wheel, 3059 West 12th Street, located on the block bounded by the Riegelmann Boardwalk ... Borough of Brooklyn :","ocm29362347",,,
"b107532694","352.7 N56 PA2","Years of park progress.","ocm03192650","51045782",,"0095-5639"
"b107542833","367 N","A history of the Cambridge Club /","ocm45286817",,,
"b107544350","376 N63","A long way forward ;","834786862","45004626",,
"b107545007","025.176 N","Map librarianship.","770328702","75040141",,
"b10754667x","973.74 N61","Perry's saints ;","906865502","02014949",,
"b107571717","371.1002 N","Escapades of a chalkpusher.","896917675",,,
"b107577276","285.732 N","Between heaven and earth :","ocm36984836",,,
"b107583355","332.2 N86","The first hundred years, 1851-1951 ;","710391715","51003290",,
"b107592083","371.02 N","Seventy-five years of Brooklyn Friends school /","891458537","43009384",,
"b107627310","974.7 O15 H","History of New Netherland; or, New York under the Dutch /","791168098","66025099",,
"b10762932x","974.72 O18","Bedford in Breuckelen Town, from 1667 to 1868 :","871322788",,,
"b107632482","378.73 B89","Polytechnic Institute of Brooklyn :","906542685",,,
"b107632743","385 O18","Railroads of New York ;","791022975","50000457",,
"b107632810","810.9 O","Remarkable, unspeakable New York :","ocm31243102","94036415","0807050024 :",
"b107637923","343 O26","Eagle legal definitions based on the laws relating to crime ;","896935091","37002137",,
"b107640223","B O'DWYER B","Beyond the golden door /","872248363","86062415","0870755757 :",
"b107649317","309.1747 O","Neighborhood change in New York City :","831139680",,,
"b107654878","796.357 O","Baseball memories :","931055392","92020532","0806987286 :",
"b107667289","912 O51","Design for Prospect Park as proposed to be laid out for the city of Brooklyn.","907543119",,,
"b107667332","B OLMSTED F","Frederick Law Olmsted, landscape architect, 1822-1903 /","ocm07052294","23000464",,
"b107671943","016.974723 O","A systematic and descriptive bibliography of Brooklyn transit :","ocm31863674",,,
"b107677283","974.72 O58 An","Antiquities of the Parish church, Jamaica (including Newtown and Flushing) :","823428253",,,
"b107677362","973.3 O58 Do","Documents and letters intended to illustrate the revolutionary incidents of Queens County, N.Y. :","907367329",,,
"b10767757x","973.3 O58","Revolutionary incidents of Suffolk and Kings Counties :","ocm02017113","01014264",,
"b107682023","974.723 O","Another time, another world :","ocm21170275","88207294","0930046099",
"b107701029","362 B87 O","Annual report of the Orphan Asylum Society of the City of New York.","907500020",,,
"b107701169","362 B87 O","Manual of the Orphan Asylum Society of the City of Brooklyn.","ocm08473337","sn 77021494",,
"b107708620","097 L28","A descriptive checklist of the woodcut bookplates of J. J. Lankes :","906963853",,,
"b107717529","974.72 O85","A history of the city of Brooklyn and Kings county /","833143908","01014847",,
"b107718297","973.7 O","A narrative of the work of the Commission appointed by an act of the Legislature, of the state of New York, passed in the session of 1906: in purchasing a site and erecting thereon a monument in memory of the men of the Fourteenth regiment of Brooklyn, N. Y. who fell in the battles of First and Second Bull Run, Gainesville and Groveton /","ocm07602235","08001773",,
"b10771839x","929.2 O","Ostrander :","ocm43050752","99070921",,
"b10772196x","025.171 O","Understanding archives and manuscripts /","ocm23113430",,,
"b107727572","970.4 O96 I","Indian life on Long Island ;","700430084","63012957",,
"b107727730","974.721 O96 L","Long Island's story.","700453537","61015755",,
"b107738880","376 P11","Circular and catalogue of the Packer Collegiate Institute.","ocm23661396",,,
"b107740096","B WALSH P","Fling Old Glory :","931186630","92071338",,
"b107759007","FIC PALESCANDOLO","Daughter of the Mafia /","ocm49522207",,,
"b107764167","FIC PALESCANDOLO","The nose of San Januarius /","ocm49520424",,,
"b107764787","FIC PALESCANDOLO","Phallos Dionysus  /","ocm49520562",,,
"b107765780","374.012 P","Read for your life ;","740333911","73014695",,
"b107765871","647.95747 P","Remembrance of a restaurant :","ocm49527515",,,
"b107765883","FIC PALESCANDOLO","The romantist :","ocm49522474",,,
"b107765925","FIC PALESCANDOLO","Rumble on the docks /","ocm36895027",,,
"b107766693","FIC PALESCANDOLO","Son of Murder, Inc., or, Man in a cassock /","ocm49522327",,,
"b107766917","FIC PALESCANDOLO","La sirena straniera :","ocm48113711",,"8887365032",
"b107767429","FIC PALESCANDOLO","The talion law :","ocm49521964",,,
"b10776801x","FIC PALESCANDOLO","Under the blue skies of Naples :","ocm49527303",,,
"b107777824","305.8 P","New immigrants to Brooklyn and Queens :","882015324","83014400","0913256633 (soft) :",
"b107781487","917.472 P23","Art work of Brooklyn, New York.","871132925",,,
"b107787751","252 P241","The duty of the present generation of Christians to evangelize the world. :","906658173",,,
"b107793696","790.068 P","The history of Brooklyn's three major performing arts institutions :","ocm26225934",,,
"b107797422","974.7 P","Life at the Old Stone House, 1636-1852 :","ocm44552659",,,
"b107797859","016.352 P244 L","Local government in New York State during the Dutch period :","820895196","68004788",,
"b107830656","920 P31","Lives of the clergy of New York and Brooklyn :","ocm12590330","33023848",,
"b10783070x","383.49 P","The local posts in Brooklyn, N.Y., 1844-1882 /","841314660",,,
"b107858137","917.4723 P","East New York place names :","ocm31861724",,,
"b107863388","974.723 P","Otis Pratt Pearsall's reminiscences of the nine year effort to designate Brooklyn Heights as New York City's first historic district and its first limited height district.","ocm28522131",,,
"b107865397","309.1747 P363 S","Stuyvesant community center :","ocm20180596",,,
"b107868696","385.1 P368 B","Before the governor. :","906631216",,,
"b107875986","582 P37","Trees and shrubs of Prospect Park.","834745777","03005298",,
"b107877296","974.7104 P","Cheap amusements :","861144738","85014783","0877223890 :",
"b107885062","289.92 P","Apocalypse delayed :","851453630",,"0802025404",
"b107899474","686 P46","The binding of books /","855175470","40035557",,
"b107936902","917.471 N56 Ci3","Landmarks of New York ;","720325819",,,
"b107938091","364.106 P","The mob :","831601136","83008947","0898031230",
"b107939344","917.471 P","The New York I love /","ocm00875768","64056437",,
"b107949611","B PEYTON Q","Quest for dignity :","ocm01313047","50013642",,
"b107959409","973.74 P57 NE","The communities of New York and the Civil War ;","833880277","62018517",,
"b107964077","026.973 P","Local history collections in libraries /","ocm30625938","94018399","1563081415 :",
"b107981701","656 b87 E","Historical sketch of the Fulton ferry :","833686770","04019499",,
"b107992127","974.723 P63","Sodom by the sea ;","720197311","41012188",,
"b107996741","507 P64","Guide to the nature treasures of New York city ;","834814762","17005881",,
"b108012943","973.06 P","A primer for local historical societies /","ocm23383824","91014071","0942063120 :",
"b108017850","917.47 F87 A","Index of personal names in J. H. French's Gazetteer of the State of New York (1860) /","ocm16674831",,,
"b10802930x","363.50974 P","A history of housing in New York City :","906467318","88038831","0231062966 :";"0231062974 (pbk.) :";"9780231062978",
"b108031159","285 B87 PL","Letter-missive.","ocm22634953",,,
"b108037873","051 B872","Brooklyn Life :","ocm34660199",,,
"b108040604","B COPLAND P","Aaron Copland :","ocm39381264","98029179","0805049096 :";"0252069005 (pbk.) :";"9780252069000 (pbk.)",
"b108041724","B RICKEY P","Branch  Rickey :","821191753","81069142","0689112548 :",
"b108044701","296.09747 C678 H","The Hasidic community of Williamsburg.","690143272",,,
"b108047325","607.2 P","The Metropolitan Technology Center.","821435547",,,
"b108058347","FIC P","The harbor.","690172918","57009755",,
"b10805861x","974.723 P822 K","The Know-nothing movement in Brooklyn.","871322966",,,
"b108060299","362.83 P","Biting the hand that feeds them :","891455531","88027505","0275929221 (alk. paper) :",
"b108063501","097 P82","Remarks on some masonic book plates in America and their owners /","907000599","12009977",,
"b108069035","388 P83 A","Arterial facilities :","854305969","55062316",,
"b108075825","917.471 P857 J","Jewish landmarks in New York ;","700143314","64015383",,
"b108090826","B SKENE P","Gynecological care of women in Brooklyn, 1863-1900 :","ocm48170633",,,
"b108091648","974 P 88","Historic towns of the middle states /","823022683","99005724",,
"b108099581","309.174723 P917 C","Community information manual ;","896827775",,,
"b108099933","352.57471 P917 D","DARE, downtown area renewal effort :","ocm09933921",,,
"b108104205","309.1747 P","Stuyvesant Heights :","906695943",,,
"b108104448","374.9 P91","The story of Pratt Institute, 1887-1937.","897014420",,,
"b108112901","285 P92 SY NE","Minutes of the ... annual session of the Synod of New York.","ocm11032964","sn 87027833",,
"b108112949","285 P92 SYN","Minutes of the Synod of New-York and New-Jersey.","ocm16931800",,,
"b108117182","016.37 P","Urban educator: Harry D. Gideonse :","710565461","70125625",,
"b108119105","363.585 P","Brownsville, Brooklyn :","ocm46402452","2001001399","0226684466";"9780226684468";"0226684474",
"b108119221","796.357 P","Brooklyn's Dodgers :","ocm33817620","95026483","0195099273 (alk. paper) :";"9780195115789 (pbk.) :";"0195115783 (pbk.) :",
"b108122530","361.8 P","The effect of Federal anti-poverty programs and policies on the Hasidic and Puerto Rican communities of Williamsburg /","851000807",,,
"b108123194","363.585 P","From one ghetto to another :","ocm48193377",,,
"b108124587","974.721 P95","A history of Long Island :","800211093","10014157",,
"b108134957","261.8 P967 BR","Bay Ridge, Brooklyn ;","897008681","Protestant Council of th Dept. of Church Planning and Research.",,
"b108136759","261.8 P967 E","East New York and neighboring communities [of] Brooklyn /","897008667",,,
"b108136875","929.2 P969 E","Early settlers of Bushwick, Long Island, New York and their descendants /","ocm15076553",,,
"b108137946","261.8 P967 H","The heart of Flatbush, Brooklyn ;","897008148",,,
"b108138689","283 P96 J","Journal of the ... convention of the Protestant Episcopal Church, in the Diocese of Long Island.","ocm08340509",,,
"b108139049","917.4721 P","Long Island gazetteer :","841194979","84000811","0935912150 :",
"b108139207","974.723 P","A landscape management plan for the natural areas of Prospect Park /","ocm33189743",,,
"b10813927x","261.8 P","Listing of Protestant and Orthodox contregations by assembly districts for New York City /","897008720",,,
"b108142036","627 P969","Report of Provisional Executive Committee in re Proposed Gravesend Bay breakwater, November, 1912.","907597580",,,
"b108143740","285.77471 P967 T","Tercentenary anniversary, 1654-1954.","906490684","84217888",,
"b108152376","025.527 P","Providing reference services for archives and manuscripts /","ocm26242804",,"0931828821 :",
"b108163763","974.723 P99 O","Origin of Breuckelen.","871323704","98001641 Rev.",,
"b108166077","252.03 P995 H","An historical discourse, delivered in St. John's Chapel, Brooklyn, L.I., on the morning of the fifteenth Sunday after Trinity, September 24th, 1876, on the occasion of the celebration of the fiftieth anniversary of the organization of the parish.","906766906",,,
"b108166363","974.71 P","Maximum city :","931059770",,"1856190935 :",
"b108178912","725.8 Q","The administration building (the Ryan Center) :","ocm45449547",,,
"b108194085","779.9394 R","Halloween.","801418561","80019119","0684167085",
"b108212774","917.4723 R163 C","The city of Brooklyn.","871256799",,,
"b10821770x","B ROBINSON R","Jackie Robinson :","ocm36528141","97005165","0679444955 (alk. paper) :",
"b10822580x","352.0747 G946","Guide to the municipal government of the City of New York.","896721454","52001927",,
"b10823695x","917.4723 R224 B","Bay Ridge place names.","871253123",,,
"b108242547","974.71 R","Perils of the Port of New York ;","740281744","72012441",,
"b108247077","371.009 R","The great school wars :","881413808","87072962","0465027040",
"b10825298x","B B414 R","The case of the Rev. E.B. Fairfield ... :","906896014",,,
"b108254574","362 B87 La","History of the Long Island College Hospital and its graduates :","906625148",,,
"b108271201","361.5062 R312 H","History of the Brooklyn Chapter, American Red Cross ;","906634301",,,
"b108275322","289.92 R","Blood on the altar :","ocm34514747","96013435  95013435","1573920592 (alk. paper) :",
"b108277689","388 R33","The first elevated railroads in Manhattan and the Bronx of the city of New York ;","896929581","36034126",,
"b108278414","974.723 R","Get Reel :","ocm32927291","95023741","0836208099";"0836208102 :",
"b108281553","388.44 R","The New York elevated /","791102898","77084581","0498021386",
"b108282351","917.472 R324 PR","Prospect Park from Grand Army Plaza to Garden Terrace via Swan Boat Lake :","871153309",,,
"b108286095","285 B87 RY","Year book of the Reformed Protestant Dutch Church of the town of Flatbush in Kings County.","ocm35568794",,,
"b108286599","307.76 R","Downtown Brooklyn :","831766095",,,
"b108287191","B THOMPSON R","The kid of Coney Island :","ocm47023490","2001033917","0195144937 :",
"b108293610","700.681 R","Don't just applaud, send money :","ocm32273935","95014236","1559361050 (pbk. : alk. paper) :",
"b108296180","974.74723 R","Greenpoint neighborhood history guide /","ocm48085834",,,
"b108299429","364.973 R35 M","Mafia.","833287560","52007145",,
"b108309733","244 R38","The City of Sin and its capture by Immanuel's army :","906598264",,,
"b108318928","FIC Renino","The way home is longer /","96040464","96040464","0312156863 :",
"b108319271","329.6 R42 BF","Constitution and by-laws of the First Ward Republican Association of Brooklyn.","907009662",,,
"b108328557","720.97471 R","The architecture of New York City :","941161666","94005705","0471014397 (paper) :",
"b108331490","974.72 R46","A history of the city of Williamsburgh, N.Y. :","871335230",,,
"b108332135","929 CONOVER R","Links /","871285322","84073371",,
"b108332275","730.97471 R";"730.97471 R","Monuments and masterpieces :","ocm37191684","96061457","0500017743";"9780756760878 :",
"b108335318","B WHITMAN R","Walt Whitman's America :","ocm30547827","94012841","0394580230",
