001,010,020$a,022$a,245$a
"ocm03505567","\\$a05005649",,,"Descendants of Andrew Dewing of Dedham, Mass.,"
"ocm04509249","\\$a03003297",,,"Charles DW̓olf of Guadaloupe, his ancestors and descendants."
"ocm18997351","\\$a03017713",,,"Dexter genealogy :"
"ocm03823820","\\$a06034312",,,"Genealogy of the Dexter family in America"
"ocm01653496","\\$a05015535",,,"Dexter genealogy, 1642-1904"
"ocm04417063","\\$a23005452",,,"Dickerman genealogy."
"ocm39142721",,,,"Canfield records of the Dickerson family."
"ocm11737433",,,,"Genealogy of the Dickey family."
"ocm14067084",,,,"The Dickinson family of Milton and Litchfield."
"ocm13136835","\\$a42024196",,,"Narrative of Anthony Dike"
"ocm13221787","\\$a35013353",,,"The Dällenbachs in America, 1710-1935,"
"ocn191113517","\\$a84198645",,,"The Diller family :"
"cbh-000268","\\$a43015995",,,"A genealogy of the Dillingham family of New England,"
"cbh-000269","\\$a27018733",,,"The ancestors of Arthur Orison Dillon and his poems :"
"ocm16877312","\\$a15022434",,,"Ancestral record of the Dillon, Hodgson, Fisher, and Leonard families,"
"cbh-000270","\\$a28017797",,,"The Dings family in America :"
"ocm13995183","\\$anuc87442731",,,"A golden wedding and the Dinsmore genealogy :"
"ocm04648682","\\$a03012623",,,"Among the Scotch-Irish :"
"ocm58670673","\\$a03003173",,,"Genealogical records of the Dinwiddie clan of northwestern Indiana :"
"ocm05717821","\\$a05024690",,,"Mr. William Diodate (of New Haven from 1717 to 1751) and his Italian ancestry,"
"cbh-000271","\\$a38032673",,,"Record of ancestors and descendants of Adam Dittemore, 1799-1874, and Henry Dittemore, 1813-1884."
"ocm71762519","\\$a09019339",,,"The border or riding clans,"
"ocn191111799","\\$a84197061",,,"History of Charles Dixon, one of the early English settlers of Sackville, N.B. /"
"ocn192101712","\\$a22015668",,,"Kith and kin :"
"ocm18971904",,,,"Ancestors of Courtlandt Palmer Dixon, and his wife, Hannah Elizabeth Williams of Stonington, Connecticut"
"ocm03505571","\\$a38025120",,,"Some of the descendants of William Dickson and Elizabeth Campbell of Cherry Valley, New York,"
"ocm02937764",,,,"Doak family history and genealogy,"
"ocm01706521","\\$a02021261",,,"The Doane family :"
"ocm32441360","\\$a09014472",,,"The Dobyns-Cooper and allied families of Ballou, Bramble, Coulter, Credit, Duval, Henry, Kemp, LaRue, Lyon, Norwood, Parry, Pierce and Taylor /"
"ocm11882792",,,,"Family record of Daniel Dod,"
"cbh-000272","\\$aunk82028767$zunk82028767",,,"Genealogies of the male descendants of Daniel Dod..."
"ocn191111804","\\$a09009389",,,"Ancestors and descendants of Lewis Dodd and Elizabeth (Baldwin) Dodd."
"ocm06576954","\\$a41005823",,,"Genealogy and history of the Daniel Dod family in America, l646-1940,"
"ocm06158589","\\$a01003166",,,"Condensed table of the Block Island branch of the Dodge family in America /"
"ocm11584742","\\$a09008523",,,"Dodge memorial."
"ocm04913833","\\$a09008521",,,"Tristram Dodge and his descendants in America :"
"ocm41698007","\\$a09008522",,,"Report, full, authentic, and complete, of all the addresses and proceedings of the memorable first reunion of the Dodge family in America]."
"ocm14081682","\\$anuc87457710",,,"Early records of the Dodge family in America /"
"ocm04811573","\\$a25021347",,,"Dodge genealogy"
"ocm11326343",,,,"Genealogical history of one branch of the Dodge Family /"
"ocm04158560","\\$a18022771",,,"Ancestry of Nathan Dane Dodge and of his wife Sarah (Shepherd) Dodge,"
"ocm04484572","\\$a27018958",,,"Dodson genealogy, 1600-1907,"
"ocm06970922","\\$a18001232",,,"The descendants of Nicholas Doe /"
"ocm01992997","\\$a75018749",,,"A supplement to the sections entitled Thomas Doggett-Daggett of Marshfield, Massachusetts and William Daggett of Saco, Maine :"
"ocn191112568","\\$anuc87545581",,,"Some antecedents and the posterity of Grandfather Armstead Doggett,"
"ocm39295694","\\$a05013229 //r34",,,"The Dolbeares of Boston."
"ocm08090421","\\$a13026803",,,"A few facts relating to the origin and history of John Dolbeare of Boston"
"ocm18473927","\\$a25002854",,,"Dommerich, Hall and allied families /"
"ocm16644268","\\$a30034235",,,"Our colonial and continental ancestors"
"ocm06590010","\\$a17009753",,,"A genealogical record of one branch of the Donaldson family in America,"
"ocm01559180","\\$a30027678",,,"Ancestral lines of the Doniphan, Frazee, and Hamilton families,"
"ocm12725407","\\$a30016391",,,"The Donnells and their Macdonald ancestors"
"ocm18946496",,,,"Donnell family"
"ocm03102159","\\$a09008516",,,"Abraham Doolittle,"
"ocm06645844","\\$a34032112",,,"History of the Dore family /"
"cbh-000273","\\$a09029545",,,"Dorrance inscriptions :"
"ocm00230173","\\$a45021716",,,"The Doster genealogy /"
"cbh-000274","\\$a05033810",,,"The Dotterer family /"
"ocm00800167","\\$a73180236",,,"James Dougall of Glasgow (1699-1760) and his descendants through Dougall and McDougall lines in the United States and Canada."
"ocm18554221",,,,"Douglas genealogy :"
"cbh-000275",,,,"The Douws of Albany /"
"ocm03534470",,,,"The book of Dow"
"ocm12590481","\\$a43002025",,,"Ancestry of Rufus K. Dryer :"
"ocm00007425","\\$a72003831",,,"The American descendants of Chrétien Du Bois of Wicres, France."
"ocm07485897","\\$a84236850",,,"Documents and genealogical chart of the family of Benjamin Du Bois of Catskill, New York :"
"ocm01147665","\\$a66026101",,,"Baby on her back"
"ocm09461272",,,,"Official report of the reunion of the descendants of Governor Thomas Dudley :"
"ocm02018822","\\$a23010559",,,"The early generations of the Du Pont and allied families,"
"ocm02595229","\\$anuc87464097",,,"The Huguenot Bartholomew Dupuy and his descendants."
"ocm04456596","\\$a10004762",,,"A genealogical history of the Dupuy family,"
"ocn987922673",,,,"Durand genealogy."
"ocm05933884","\\$a02022681",,,"The descendants of Thomas Durfee of Portsmouth, R.I. /"
"ocm13017890",,,,"The Duyckinck and allied families :"
"ocm00258774","\\$a09009399",,,"The history of the descendants of John Dwight, of Dedham, Mass.,"
"ocm08052665","\\$a81065396",,,"Jan Dyckman of Harlem and his descendants /"
"ocm01744790","\\$a31021760",,,"Eames-Ames genealogy"
"ocm13074302","\\$a41009419",,,"The Amos⁷ S. Earle branch of the Ralph Earle family in America."
"ocm01724459","\\$a09009770",,,"A history of the family of Early in America:"
"ocm09510197","\\$a21000644",,,"The family of Early,"
"ocm00748836","\\$a12006714",,,"Indian Eve and her descendants."
"ocm14521056","\\$anuc87462239",,,"Genealogy of the Estabrook family :"
"ocm01855068","\\$a09009769",,,"History and genealogy of the Eastman family of America :"
"ocm16914596","\\$a09009767",,,"Genealogy of the Eastman family, for the first four generations /"
"ocm05640010","\\$a11005633",,,"History and genealogy of Deacon Joseph Eastman of Hadley, Mass. :"
"ocm00937248","\\$a33029125",,,"Descendants of Joseph Easton, Hartford, Conn., 1636-1899."
"ocm03397834","\\$a02008936",,,"Eaton family :"
"ocm14087117","\\$a84236381",,,"Ancestry and descendants of Sylvanus Eaton, Jacob Swetland and Christopher Reynolds /"
"ocm14104375","\\$a05025482",,,"Families of Eaton-Sutherland, Layton-Hill /"
"ocm04849105","\\$a29008766",,,"The Eaton family of Nova Scotia :"
"ocm04509499",,,,"History of the Eberharts in Germany and the United States from A.D. 1265 to A.D. 1890--625 years /"
"ocm01068872","\\$a37013375",,,"The Ebersol families in America--1727-1937,"
"ocn191111867",,,,"A biographical history of the Eby family :"
"ocm08657079",,,,"Genealogy of the Eddy family /"
"ocm02470206",,,,"The Eddy family in America,"
"ocm06452079",,,,"The Eddy family:"
"ocm13943614","\\$a14001169$z14001169",,,"The Eddy family."
"on1037391375","\\$a34032114",,,"The Edgerly family /"
"ocm07009567","\\$a01027983",,,"Several ancestral lines of Josiah Edson and his wife Sarah Pinney, married at Stafford, Conn., July 1, 1779."
"ocm16644536","\\$a03017625",,,"Edsons in England and America and genealogy of the Edsons,"
"ocm04523040","\\$a09009397",,,"Historic sketches of the Edwards and Todd families and their descendants :"
"ocm01612248","\\$a03004168",,,"Memoirs of Col. William Edwards,"
"ocm12625152","\\$a03026270",,,"The Edwards family /"
"ocm01654093","\\$a03019195",,,"Timothy and Rhoda Ogden Edwards of Stockbridge, Mass., and their descendants :"
"ocm10378525","\\$a31025407",,,"Richard Edwards and his wife Catherine Pond May :"
"on1038104467","\\$a42018889",,,"The descendants of William Edwards,"
"on1012095339","\\$a14015220",,,"History and genealogy of the Ege family in the United States :"
"ocm01013874","\\$a31019479",,,"Dominie John Jacob Ehle :"
"ocn475689717","\\$a09009396",,,"Genealogy of the Ela family :"
"ocm14087101","\\$a10015835",,,"Genealogy of David Elder and Margery Stewart /"
"ocm58670675",,,,"History of ancient Windham genealogy :"
"ocm07797261","\\$anuc87460652",,,"Eldredge genealogy :"
"ocm01851421","\\$a09009393",,,"Genealogy of the Eliot family."
"ocm18894802","\\$a84195367",,,"The Eliot family /"
"ocm01100833","\\$a09009391",,,"A sketch of the Eliot family."
"ocm68150297","\\$a05013014",,,"Genealogy of the descendants of John Eliot,"
"ocm01873760",,,,"The John Elliot family of Boscawen, New Hampshire /"
"ocm16867763",,,,"The Elliott families, 1762-1911,"
"ocm04973024","\\$a15015675",,,"Some historic families of South Carolina,"
"ocm01290143","\\$a07031430",,,"The Ellis family /"
"ocn866600257","\\$a01022695",,,"Elmer-Elmore genealogy :"
"ocm18508927",,,,"Family memorials in prose and verse :"
"cbh-000276","\\$a43014311",,,"The Elston family in America /"
"ocm19098061","\\$anuc87477569",,,"The Elwell family in America "
"ocm12555680","\\$a83113682",,,"The Elwell family :"
"ocm14064237","\\$a24006067",,,"The Elys of Wouston."
"ocn475689856",,,,"The Ely ancestry :"
"ocm08340315","\\$anuc87466813",,,"An historical narrative of the Ely, Revell and Stacye families who were among the founders of Trenton and Burlington in the province of West Jersey 1678-1683 :"
"ocn832988033","\\$a15008349 //Rev",,,"The Haverhill Emersons /"
"ocm04485048","\\$a01002125",,,"The Ipswich Emersons. A.D. 1636-1900."
"ocn503203252",,,,"Genealogical records of descendants of John and Anthony Emery, of Newbury, Mass., 1590-1890."
"ocm07011865","\\$a05026136",,,"The Emmons family genealogy :"
"ocm58670676","\\$a03003178",,,"Endecott wills, inventories, and matters connected with the estate of Governor John Endecott ..."
"ocm11176246","\\$a12032059",,,"The Endicott family /"
"ocn866189794","\\$a25011793",,,"Memoir of Samuel Endicott, with a genealogy of his descendants /"
"ocm18554434","\\$a09010674",,,"An historical record of the descendants of Dr. John Indicott of Hartford, Conn. /"
"ocm08360097",,,,"Endress im Hof"
"ocm03685139","\\$a30022505",,,"The Engle history and family records of Dauphin and Lancaster counties."
"ocm18564492",,,,"Eno family, New York branch."
"ocm04959779",,,,"The story of David Epperson & his family, of Albemarle County, Virginia"
"ocm01654219","\\$a42013640",,,"Francis Epes,"
"cbh-000277","\\$a38032647",,,"History and genealogy of the descendants of Jacob (Eppli, Aepli, Ebli) Eppley :"
"ocm14087005","\\$a20023918",,,"The Erskine family of Bristol, Maine /"
"ocm02589849","\\$a09009772",,,"Estes genealogies."
"ocm04511966",,,,"Estes family."
"ocm04292149","\\$a39022921",,,"Cary-Estes genealogy /"
"ocm13104723","\\$a02024597",,,"Isaac Esty of Topsfield, and some of his descendants."
"ocm07908034","\\$a84196403",,,"Genealogy of the Eustis family /"
"ocm19101567","\\$a31017167",,,"Genealogy of Evans, Nivin, and allied families /"
"on1038108389",,,,"Descendants of David Evans of Charleston, Massachusetts :"
"ocn950898669","\\$a25017452$z25017452",,,"Evans, Whitting, Davis."
"ocm14395736","\\$a40018345",,,"Evans family records."
"ocm09291389","\\$a04030134",,,"Sir Richard Everard, Baronet, governor of the colony of North Carolina, 1725-1731, and his descendants in Virginia /"
"ocm13140268","\\$anuc87470846",,,"Genealogy of the Everett family."
"ocm05637400","\\$a03014592",,,"Descendants of Richard Everett of Dedham, Mass."
"ocm03508241","\\$a32000314",,,"Everhart-Miller and allied families."
"ocm58670677","\\$a09009775$z09009775",,,"A history of the Everhart and Shower families, from 1744 to 1883."
"ocn191111924","\\$anuc87471033",,,"Genealogy of John Ewell :"
"ocm58670678",,,,"Record of the family of Thomas Ewing, :"
"ocm01815053","\\$a20000727",,,"The Ewing genealogy with cognate branches:"
"ocm04512436","\\$a22000661",,,"Clan Ewing of Scotland, early history and contribution to America"
"ocm03130694","\\$a24011764",,,"Dr. John Ewing and some of his noted connections /"
"ocm04512133","\\$a52041633",,,"Genealogy of the Exline and Axline family,"
"ocm14082938","\\$a22016676",,,"Eyre genealogy :"
"ocm14082932","\\$a09009776",,,"Some of the descendants of Jonathan Fabens, of Marblehead /"
"ocm10502521","\\$a45008168",,,"The Fahnestock genealogy,"
"ocm01539521","\\$a31001527",,,"... Fain of Tennessee"
"ocm04980712","\\$a09009779",,,"The Fairfaxes of England and America in the seventeenth and eighteenth centuries, including letters from and to Hon. William Fairfax ... and his sons, Col. George William Fairfax and Rev. Bryan, Eighth Lord Fairfax, the neighbors and friends of George Washington."
"ocm03506811","\\$a09009778",,,"Descendants of John Fairman, of Enfield, Conn., 1683-1898."
"ocm03375808","\\$a31002242",,,"Genealogy, descendants of William and Dorcas Fallas of Boston, Massachusetts ..."
"ocm18937214",,,,"Record of the Fargo family,"
"ocm39178204","\\$a44004018",,,"Twelve generations of Farleys,"
"ocm26631388",,,,"A history of Thomas and Anne Billopp Farmar, and some of their descendants in America /"
"ocm06333602","\\$a09009780 //r",,,"Genealogy of the Farnham family."
"ocm01684172","\\$a99000782",,,"Farnsworth memorial."
"ocm78655333",,,,"Matthias Farnsworth and his descendants in America."
"ocm03398621","\\$a09009784",,,"Farwell ancestral memorial."
"ocm03508286","\\$a29013402",,,"The Farwell family,"
"cbh-000278",,,,"The history of the Faxon family :"
"ocm18549051",,,,"Memorial history of the Felch family in America and Wales :"
"ocm08375457",,,,"Genealogy of the Fell family in America,"
"ocm02717656","\\$a21006435",,,"A register of the ancestors of Dorr Eugene Felt and Agnes (McNulty) Felt /"
"ocm09006136","\\$a09009788",,,"The Felt genealogy :"
"ocm07012771","\\$a09000551",,,"A genealogical history of the Felton family"
"ocm07012836","\\$a17006239",,,"The Feltus family book :"
"ocm14082902","\\$a09013202",,,"The Fenno family /"
"ocm06343510",,,,"The Fenton family of America and Great Britain /"
"ocm02580661","\\$a10009708",,,"Family history of Jeremiah Fenton (1764-1841) of Adams County, Ohio, and his descendants."
"ocm13145161","\\$a38017449",,,"Susanna Cornell Ferguson and her descendants,"
"ocm10981609",,,,"Thomas Ferrier and some of his descendants /"
"ocm01654445","\\$a17009570",,,"The family of Rev. David D. Field, D.D., of Stockbridge, Mass. :"
"ocm13446633","\\$a09010178",,,"Genealogy of the Fields of Providence, Rhode Island :"
"ocn172815764",,,,"Record of the family of the late Rev. David D. Field, D. D. of Stockbridge, Mass."
"ocm04349223","\\$a02001629",,,"Field genealogy"
"ocm18456807",,,,"Some of the ancestors and the children of Anna Hall Field, wife of Comfort Hardon, esq. :"
"ocm04083732","\\$a32009747",,,"Record of the life of David Dudley Field :"
"ocm14559423","\\$a10009637",,,"Genealogy of the Fillebrown family,"
"ocm09007474","\\$a10007580",,,"The genealogy and descendants of Luke Fish, Sr.,"
"ocm07136111",,,,"1600-1914 /"
"ocm14510936",,,,"Genealogy of Joseph Fisher and his descendants :"
"ocm13998900",,,,"The Fisher genealogy."
"ocn191113956","\\$anuc87744743",,,"Some family genealogies :"
"ocm01183508","\\$a13008473",,,"The life and character of St. Paul :"
"ocm11481652","\\$a09010175",,,"The Fiske family :"
"ocm74330551",,,,"Fiske and Fisk family :"
"ocm18917314",,,,"Fiske family papers."
"ocm79784520",,,,"A sermon preached at the Reformed Church in Schuylerville, N.Y., March 6th, 1879 at the funeral of Mrs. Hannah Fitch Bullard /"
"ocm03571841",,,,"Fitch genealogy :"
"ocm04526380","\\$a39029865",,,"The descendants of Seymour Fitch and Elizabeth Hoyt of New Canaan, Connecticut :"
"cbh-000279","\\$a07022825",,,"The biographical and genealogical records of the Fite families in the United States /"
"ocm03165873","\\$a09010172",,,"Genealogy of the Fitts or Fitz family in America"
"ocn192101852",,,,"Family notes."
"ocm11154622","\\$a08003425",,,"Fitz Randolph traditions,"
"ocn191112000","\\$a03021559$z03021559",,,"The descendants of Eleazer Flagg and his wife, Huldah Chandler of Grafton, Mass., including genealogies of the Flagg, Waters, Goddard and Hayden families."
"ocm04960188","\\$a20016610",,,"Descendants of Josiah Flagg of Berkeley County, W. Va. :"
"ocm03146002","\\$a07041553",,,"Family records of the descendants of Gershom Flagg <born 1730> of Lancaster, Massachusetts,"
"ocm07361083","\\$a27021782",,,"Genealogical notes on the founding of New England."
"ocm14051721","\\$a90953787",,,"The Flanders family /"
"ocm07259953","\\$a35035680",,,"The Flanders family from Europe to America :"
"cbh-000280","\\$a30008674",,,"Fleming family records /"
"ocm01843844","\\$a09010171",,,"Genealogical and historical sketches of the Fletcher family :"
"ocm10587703","\\$a09010171",,,"Fletcher genealogy:"
"ocm03902660","\\$a20020508",,,"Genealogy, in part, of the Fletcher-Crowder-Tucker families."
"ocm02567016","\\$a37038439",,,"History of the Flickinger family /"
"ocm04027562","\\$a27018734",,,"The Flickinger family history :"
"ocm13145641","\\$a03007931",,,"A genealogical register of the descendants of Thomas Flint, of Salem :"
"ocm06343875","\\$a12024135",,,"The Flint genealogy /"
"on1038092595",,,,"A genealogical register of the descendants in a direct line of Thomas Flint to Capt. Benjamin Flint (339) :"
"ocm12333247",,,,"The Flint family :"
"ocm18917329",,,,"A supplement to the Genealogical register of the descendants of Thomas Flint of Salem giving the direct line from Thomas Flint [1] to Henry Flint [581] and the descendants of Henry Flint [581]."
"ocm14082844","\\$a33031500",,,"Some genealogical data regarding the Flournoy family /"
"ocm04526518","\\$a12005391",,,"Biographical genealogies of the Virginia-Kentucky Floyd families,"
"ocm11795142","\\$a05025473",,,"Genealogy of the Fogg family :"
"ocm09059299","\\$a03005653",,,"A short genealogical account of a few of the families of the early settlers in Eliot :"
"ocn192101867","\\$a01010196",,,"Report to the Follansbee association, U.S.A."
"ocm16750850","\\$a12001451",,,"A genealogical history of the Follin family in America /"
"ocm18923776",,,,"History of the Follmer family."
"ocm28693642",,,,"Descendants of the first John Folsom, through Dea. John, Lieut. Peter, and Ephraim Folsom."
"ocm13628488","\\$a09101677",,,"A genealogy of the Folsom family :"
"cbh-000281",,,,"Genealogy of the Folsom family :"
"ocm58670680","\\$a09010166",,,"Memorial of Elder Adoniram Foot :"
"ocn475690382","\\$a07027764",,,"The Foote family, or, The descendants of Nathaniel Foote, one of the first settlers of Wethersfield, Conn. :"
"ocm05346116","\\$a11011567",,,"Foote family,"
"ocm03510086",,,,"Forbes and Forbush genealogy."
"ocm39150643",,,,"Ford family history,"
"ocm14089629","\\$a13018993",,,"Ancestors and descendants of Ansel Ford and Deborah (Tower) Ford of Cummington, Mass. :"
"ocn191112020","\\$a85118637",,,"Records of the descendants of John Foreman, who settled in Monmouth County, New Jersey, about the year A.D. 1685 /"
"ocm05997965",,,,"The Forman genealogy /"
"ocm18941634",,,,"Sketches of the Forney family"
"ocm10088358",,,,"Forney's five family records of genealogy of Benners, Clappers, Ettlemans, Forneys, and Studys, with historical sketches / Charles William Forney."
"ocm02783192","\\$a40011985",,,"Christian Forrer, the clockmaker and his descendants /"
"ocn950898246","\\$a09010541",,,"A history of the antecedents and descendants of William and Dorothy Worthen Forrest of Canterbury Borough, N.H. :"
"cbh-000282","\\$a04024932",,,"The descendants of John Forry, 1805-1898 /"
"ocm11336786",,,,"Memorial of the family of Forsȳth ́de Fronsac /"
"ocm03657003","\\$a22006534",,,"A history of the Forsyth family /"
"ocn192101876","\\$a01000695",,,"A genealogical record :"
"ocm19058992",,,,"Fosdick family, the Oyster Bay branch, 1583-1891"
"ocm03457996",,,,"Foster record :"
"on1038097832","\\$ao 00010547",,,"Pedigree of Jesse W. Foster :"
"ocm00856915","\\$a05030325",,,"Family of Foster, of Charlestown, Mass. /"
"ocm13165521",,,,"The ancestry of Lydia Foster, wife of Stephen Lincoln of Oakham, Mass /"
"ocm03354831","\\$a03020608",,,"Foster genealogy"
"ocm06054315","\\$a18022766",,,"Descendants of Hopestill Foster of Dorchester, Mass. :"
"ocm00979413","\\$a74076258",,,"Foulke family,"
"ocm14089486","\\$a15014742",,,"Genealogical data concerning the family of Foulkrod :"
"ocm07220020","\\$a15001846",,,"Genealogy of the descendants of Theobald Fouse (Fauss) :"
"ocm14089481","\\$a28004906",,,"Fowke (Fooks) family /"
"ocm14089417","\\$a13010556",,,"Immigrant ancestors of the various Fowle families of America :"
"ocm26951055","\\$anuc87482055",,,"A genealogical memoir of the descendants of Ambrose Fowler of Windsor, and Capt. Wm. Fowler of New Haven, Connecticut /"
"ocm13628652","\\$a09010545",,,"The Fowler family: a genealogical memoir of the descendants of Philip and Mary Fowler, of Ipswich, Mass."
"ocm04972727",,,,"Annals of the Fowler family :"
"ocm03389860","\\$a13001925 //r",,,"An incomplete genealogy of the Fowler family /"
"ocm37988490",,,,"William Fowler, the magistrate, and one line of his descendants /"
"ocm00606698","\\$a51015987",,,"The history of the Fowlers."
"ocm08230671","\\$a12001821",,,"Biographical and historical accounts of the Fox, Ellicott, and Evans families, and the different families connected with them."
"ocm11679776","\\$a37016844",,,"A history of that part of the Fox family descended from Thomas Fox of Cambridge, Mass. :"
"ocm01724545","\\$a16011119",,,"Early marriage records of the Fox family in the United States :"
"ocm04537086","\\$a32011050",,,"Descendants of Jehiel Fox of Canaan, Hoosick Falls & Chester, N.Y. /"
"ocm04535371","\\$a32011053",,,"Descendants of John Fox of New London Ct. :"
"cbh-000283","\\$a32011052",,,"Descendants of Isaac Fox of Medford, Mass. & New Canaan, Ct. :"
"ocn192101883","\\$a10026198$z10026198",,,"Daniel Fox of East Haddam, Ct. and some of his descendants."
"ocm24772026",,,,"The Frampton family :"
"ocm19117896","\\$a19008473",,,"The Francines, originally of Florence"
"ocm14089404","\\$a01010189 //r",,,"Family records of some of the descendants of Robert Francis of Wethersfield, Conn., April, 1900 /"
"ocm01697738","\\$a07020974",,,"Francis"
"ocm19075848","\\$a18002285",,,"Francis, Goodrich, Boardman,"
"ocm12493841","\\$a03005671",,,"The Franklin ancestry and descendants :"
"ocm05122782","\\$a01030103",,,"Franklin as a genealogist."
"ocm11654786","\\$a10013497",,,"Some account of Capt. John Frazier and his descendants :"
"ocm01650284","\\$a66000134",,,"James Frazier,"
"ocm09065074","\\$a07034248 //r",,,"Notes and papers of or connected with Persifor Frazer in Glasslough, Ireland :"
"ocn913502093","\\$a45025690",,,"General Persifor Frazer :"
"ocm13584313","\\$a42010564",,,"Partial history of the Freed family and connecting families /"
"ocm00023956","\\$a70006637",,,"The Freer family"
"ocm14094935","\\$a14016774",,,"John French, Jr. of Taunton, Berkley, Middleboro, and Oakham, Massachusetts, and his descendants /"
"ocn191112047","\\$a10029520",,,"Aaron French and his descendants /"
"ocm10678363","\\$anuc87496779",,,"An American ancestry /"
"ocn191112046","\\$anuc87496763",,,"John French, of Braintree, Massachusetts :"
"ocm04225729","\\$a13000389",,,"A genealogical history of the French and allied families,"
"ocm00751401","\\$a10006182",,,"Ancestors and descendants of Samuel French,"
"ocn475690730",,,,"A brief history of John and Christian Fretz and a complete genealogical family register to the fourth generation :"
"ocm01724220","\\$a09001164$z09001164",,,"A brief history of John and Christian Fretz and a complete genealogical family register."
"ocm16305506",,,,"Ancestry and posterity (in part) of Gottfried Frey, 1605-1913,"
"ocm19118438","\\$a84243798",,,"John Adam Friermouth of Barryfield, Ont., Canada and his descendants /"
"ocm01656178","\\$a28028122",,,"The Frisbee-Frisbie genealogy"
"ocm11795119","\\$a02005513",,,"Genealogy of the Frost family :"
"ocm16305782","\\$a10006532",,,"The Frost family in England and America :"
"ocm16447318",,,,"The Frost genealogy /"
"ocm13151085","\\$a15005537",,,"Genealogical Frost record, 1635-1906."
"ocm02505912","\\$a27007388",,,"Frost genealogy in five families,"
"ocm12725475","\\$a44025540 //r2",,,"The Nicholas Frost family /"
"ocm01402881","\\$a18002283",,,"The Frothingham genealogy."
"ocm18471889","\\$anuc87496558",,,"Freese families /"
"ocm02991928","\\$a09010543",,,"Memoir of Col. Joshua Fry,"
"ocn192101901","\\$anuc87497144",,,"The Saxon origin of the Fry families /"
"ocm06115935",,,,"The Fulham genealogy :"
"ocm10370661","\\$a09010179",,,"A brief sketch of Thomas Fuller and his descendants,"
"ocm14062932","\\$a09010540",,,"Records of some of the descendants of John Fuller, Newton, 1644-98 :"
"ocm14094874",,,,"Chief Justice Fuller :"
"ocm19126967","\\$a11006712",,,"A brief sketch of Thomas Fuller and one line of his descendents [!] with notes."
"ocm18993598",,,,"Historical notices of Thomas Fuller and his descendants,"
"ocm22431418",,,,"Historical notices of Thomas Fuller and his descendants,"
"ocm00915083","\\$a74163456",,,"The Fuller family in England and America,"
"ocm03581506","\\$anuc87480788",,,"Genealogy of some descendants of Dr. Samuel Fuller of the Mayflower /"
"ocm57266110","\\$a15001693",,,"Genealogy of some descendants of Captain Matthew Fuller, John Fuller of Newton, John Fuller of Lynn, John Fuller of Ipswich, Robert Fuller of Dorchester and Dedham :"
"ocm06161200","\\$a20002602",,,"Genealogy of some descendants of Thomas Fuller of Woburn /"
"ocm01040734",,,,"A brief history of Bishop Henry Funck and other Funk pioneers, and a complete genealogical family register, with biographies of their descendants ... to the present time ..."
"ocm04366192","\\$a27020352",,,"The ancestors and descendants of Colonel David Funsten and his wife Susan Everard Meade,"
"ocm06130074","\\$a38036025",,,"Furman homes and sites :"
"ocm13151459","\\$a30009195",,,"A History of the Gable family."
"ocm09487016","\\$anuc87508606",,,"A record of Pierce Gage and his descendants :"
"ocm18978743","\\$a84255694",,,"The New England ancestry of Lyman J. Gage, Secretary of the Treasury in President McKinley's cabinet /"
"ocm03510693","\\$a40008607 //r",,,"Descendants of Jeremiah Jagger (Gager), of Watertown, Mass., 1630 and John Jagger, of Southampton, L.I., 1641 :"
"ocm19131478","\\$a11021013",,,"Genealogy of the descendants of David Gale of Sutton, Mass."
"ocm12166545","\\$a09010538",,,"Genealogy of the Gale family /"
"on1141908617","\\$a09010537",,,"The Gale family records in England and the United States,"
"ocm02677881",,,,"The Gall and Williams' genealogy."
"ocn475690893","\\$anuc87338021",,,"Ancestry of Albert Gallatin, born Geneva, Switzerland, January 29, 1761 : died New York, August 12, 1849, and of Hannah Nicholson, born New York, September 11, 1766 : died New York, May 14, 1849, with a list of their descendants to the second and third generation :"
"ocn475690923","\\$a08022788",,,"History of the Galley family :"
"ocm12166604","\\$a17009740",,,"John Gallop of Taunton, Mass. /"
"ocm16448364","\\$a09010536",,,"The genealogical history of the Gallup family in the United States,"
"ocm11874058","\\$a10002631",,,"Descendants of John Gamage of Ipswich, Mass. /"
"ocm19826650",,,,"Data concerning the families of Bancroft, Bradstreet, Browne, Dudley, Emerson, Gamble, Goodridge, Gould, Hartshorne, Hobson, Kemp, Kendall, Metcalf, Nichols, Parker, Poole, Sawtell, Wainwright, Woodman, etc., etc., in England and America, 1277 to 1906, A.D."
"ocn191060458","\\$anuc87706296",,,"The Gardiners of Narragansett :"
"ocm01668998","\\$a34008480",,,"Gardiners of Gardiner's island /"
"ocm14101291","\\$a03007910",,,"Descendants of Richard Gardner, of Woburn, of the name of Gardner."
"ocm09503634","\\$anuc87501606",,,"Thomas Gardner, planter (Cape Ann, 1623-1626; Salem, 1626-1674) :"
"ocm10378549","\\$a08001764",,,"Gardner history and genealogy /"
"ocm03612541",,,,"Ancestors and descendants of Daniel Gardner V and Mary (Hodges) Gardner :"
"ocm18807390","\\$a34001158 //r45",,,"Gardner memorial"
"ocm06380079",,,,"A chronicle of everyday people:"
"ocm03510858","\\$a38002256",,,"Gardiner-Gardner genealogy,"
"ocm05506024","\\$a85117085",,,"The Garfield family in England /"
"ocn191228473","\\$a16011124",,,"Concerning President Garfield's ancestry."
